Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_5220895,4,5,5.0,25.0,0,0,2023-06-10
TXN_3085509,1,4,2.0,8.0,2,0,2023-04-15
TXN_9999113,3,4,3.0,12.0,0,1,2023-05-27
TXN_8779771,1,4,2.0,8.0,0,0,2023-07-25
TXN_9517146,3,5,5.0,25.0,0,1,2023-10-30
TXN_1621920,4,3,5.0,15.0,2,1,2023-10-28
TXN_3808639,3,2,3.0,6.0,2,1,2023-12-15
TXN_6955416,4,4,5.0,20.0,2,0,2023-02-25
TXN_3775339,2,3,1.0,3.0,1,1,2023-04-03
TXN_9547091,2,3,1.0,3.0,1,1,2023-10-08
TXN_4358673,2,5,1.0,5.0,2,1,2023-12-28
TXN_4174591,7,4,1.5,6.0,2,1,2023-08-30
TXN_3398520,5,1,4.0,4.0,2,0,2023-02-03
TXN_6171384,6,2,4.0,8.0,1,1,2023-09-12
TXN_2530938,6,5,4.0,20.0,2,1,2023-04-27
TXN_3314971,3,3,3.0,9.0,2,1,2023-05-04
TXN_3092382,1,5,2.0,10.0,2,1,2023-02-21
TXN_1535311,3,3,3.0,9.0,0,1,2023-03-16
TXN_2148617,3,5,3.0,9.0,2,1,2023-01-10
TXN_4633784,3,5,3.0,15.0,2,0,2023-02-06
TXN_4368416,4,2,5.0,10.0,1,1,2023-02-24
TXN_9790731,0,2,3.0,6.0,2,1,2023-06-02
TXN_9339456,1,3,2.0,6.0,2,1,2023-03-29
TXN_5179020,0,2,3.0,6.0,2,1,2023-06-18
TXN_6258471,1,5,2.0,10.0,2,0,2023-09-23
TXN_7945375,3,3,3.0,9.0,2,1,2023-01-14
TXN_4685453,7,4,1.5,6.0,0,0,2023-09-14
TXN_9646452,3,5,3.0,15.0,1,1,2023-09-16
TXN_9096052,6,4,4.0,16.0,1,1,2023-12-28
TXN_5916991,3,2,3.0,6.0,2,1,2023-02-06
TXN_3407169,5,2,4.0,8.0,0,0,2023-03-11
TXN_2277042,7,1,1.5,1.5,0,1,2023-04-08
TXN_9273729,7,1,1.5,1.5,2,1,2023-12-19
TXN_2181545,3,4,3.0,12.0,1,1,2023-07-14
TXN_1150033,3,5,3.0,15.0,0,0,2023-04-18
TXN_1443912,3,2,3.0,6.0,2,1,2023-06-08
TXN_8700451,7,5,1.5,7.5,1,1,2023-12-12
TXN_6380550,1,5,2.0,10.0,0,0,2023-01-05
TXN_4885518,4,3,5.0,15.0,1,0,2023-06-10
TXN_3972167,5,5,4.0,20.0,2,0,2023-01-23
TXN_4878378,7,1,1.5,1.5,1,1,2023-02-20
TXN_2484241,0,3,3.0,9.0,2,1,2023-07-19
TXN_2368126,0,5,3.0,15.0,2,0,2023-12-06
TXN_8495063,3,1,3.0,6.0,0,1,2023-05-31
TXN_4811133,4,2,5.0,10.0,0,1,2023-08-11
TXN_8729570,7,5,1.5,7.5,2,0,2023-09-03
TXN_7623634,0,2,3.0,6.0,1,0,2023-07-11
TXN_9336980,4,4,3.0,20.0,0,0,2023-06-06
TXN_3424331,0,4,3.0,12.0,2,1,2023-01-18
TXN_5072031,0,2,3.0,6.0,0,1,2023-03-23
TXN_8687151,4,5,5.0,25.0,0,1,2023-06-10
TXN_4031509,3,4,3.0,16.0,1,1,2023-01-04
TXN_5265095,1,1,2.0,2.0,2,1,2023-06-23
TXN_6541415,3,5,3.0,12.0,0,0,2023-11-25
TXN_4108138,1,5,2.0,10.0,0,1,2023-08-03
TXN_1909796,6,2,4.0,8.0,2,1,2023-07-12
TXN_1928241,1,3,2.0,6.0,0,0,2023-04-30
TXN_4283157,4,5,5.0,25.0,2,0,2023-11-25
TXN_8013032,1,2,2.0,4.0,1,1,2023-03-07
TXN_8301424,3,2,3.0,6.0,2,1,2023-06-27
TXN_7965998,3,1,3.0,3.0,1,0,2023-11-02
TXN_9238666,2,1,3.0,1.0,2,1,2023-07-31
TXN_1631695,7,2,1.5,3.0,2,0,2023-09-19
TXN_1435086,0,5,3.0,15.0,2,1,2023-02-09
TXN_3226832,3,5,4.0,20.0,0,1,2023-09-04
TXN_1648671,5,3,4.0,12.0,0,1,2023-05-21
TXN_4062737,0,3,3.0,9.0,0,0,2023-07-02
TXN_3494565,3,2,4.0,8.0,2,1,2023-07-10
TXN_9249507,2,4,1.0,4.0,1,0,2023-11-21
TXN_4689500,5,4,4.0,16.0,2,1,2023-12-02
TXN_8989148,7,2,1.5,6.0,2,1,2023-11-25
TXN_8316826,1,3,2.0,6.0,2,0,2023-04-17
TXN_9836934,2,3,1.0,3.0,2,0,2023-03-13
TXN_8005489,0,3,3.0,9.0,2,0,2023-08-12
TXN_3925836,2,3,1.0,3.0,2,0,2023-02-16
TXN_1896955,4,5,5.0,25.0,2,0,2023-09-23
TXN_5075974,6,5,4.0,16.0,2,1,2023-04-11
TXN_3978874,6,5,4.0,20.0,1,0,2023-03-13
TXN_8955912,5,1,4.0,4.0,2,1,2023-11-07
TXN_1136554,6,3,4.0,12.0,2,1,2023-03-26
TXN_8007337,0,2,3.0,6.0,2,1,2023-11-01
TXN_8129834,4,1,5.0,5.0,0,1,2023-07-22
TXN_3831848,3,1,4.0,4.0,2,1,2023-11-03
TXN_5365809,0,3,3.0,9.0,0,0,2023-09-14
TXN_8166407,6,2,3.0,8.0,2,1,2023-07-26
TXN_6629480,6,5,4.0,20.0,1,0,2023-02-28
TXN_3833797,1,4,2.0,8.0,2,0,2023-01-27
TXN_2643815,2,5,1.0,3.0,2,1,2023-12-06
TXN_2996519,0,5,3.0,15.0,0,1,2023-01-19
TXN_8810894,6,1,4.0,4.0,2,1,2023-02-20
TXN_7412722,3,4,3.0,12.0,0,0,2023-04-07
TXN_3937509,6,2,4.0,8.0,2,0,2023-03-20
TXN_6000201,2,3,1.0,3.0,0,1,2023-02-16
TXN_1714274,2,4,1.0,4.0,2,0,2023-12-27
TXN_3800182,7,2,3.0,3.0,0,0,2023-10-26
TXN_5115080,3,5,3.0,15.0,1,1,2023-02-18
TXN_9788956,3,5,3.0,12.0,2,1,2023-04-11
TXN_6311602,3,3,3.0,9.0,1,1,2023-05-15
TXN_2950680,1,2,2.0,4.0,1,1,2023-12-10
TXN_6749847,0,2,3.0,6.0,1,1,2023-08-15
TXN_2143187,6,1,4.0,4.0,2,0,2023-04-21
TXN_8964522,3,3,3.0,9.0,1,1,2023-10-28
TXN_4088917,1,3,2.0,6.0,0,1,2023-02-04
TXN_3779366,2,1,1.0,1.0,2,0,2023-04-15
TXN_7724048,6,1,4.0,4.0,2,0,2023-11-12
TXN_2698591,7,5,1.5,7.5,2,1,2023-08-05
TXN_3171373,6,3,4.0,12.0,1,0,2023-05-10
TXN_6498163,6,5,4.0,20.0,2,0,2023-07-15
TXN_6717827,3,3,5.0,15.0,2,1,2023-11-15
TXN_9089898,4,3,3.0,15.0,1,1,2023-01-11
TXN_8587583,0,1,3.0,3.0,2,1,2023-10-01
TXN_8693704,4,5,5.0,25.0,0,0,2023-05-04
TXN_3857960,4,4,5.0,20.0,0,0,2023-04-26
TXN_3499124,3,4,4.0,16.0,1,1,2023-08-25
TXN_9250710,4,1,5.0,5.0,0,0,2023-05-28
TXN_7058377,3,1,3.0,3.0,2,1,2023-04-30
TXN_6766492,4,1,5.0,5.0,2,1,2023-01-14
TXN_9879996,1,4,2.0,8.0,2,0,2023-03-01
TXN_4291940,0,3,3.0,9.0,1,0,2023-11-13
TXN_7433461,2,2,1.0,2.0,2,1,2023-07-09
TXN_4068262,4,2,5.0,10.0,1,1,2023-05-13
TXN_5047447,4,1,5.0,5.0,2,1,2023-12-27
TXN_6623508,2,5,1.0,5.0,2,1,2023-05-18
TXN_2651216,3,3,4.0,12.0,2,1,2023-04-04
TXN_9350833,0,1,3.0,3.0,0,1,2023-01-17
TXN_8377564,0,5,3.0,15.0,2,0,2023-07-14
TXN_7031118,4,1,5.0,5.0,1,1,2023-03-29
TXN_2230167,0,4,3.0,12.0,2,1,2023-09-22
TXN_6446616,7,3,1.5,4.5,2,1,2023-09-30
TXN_1721827,0,4,3.0,12.0,2,1,2023-08-22
TXN_6334895,6,1,4.0,4.0,1,1,2023-07-27
TXN_7077119,3,1,4.0,4.0,2,0,2023-12-30
TXN_8562645,4,5,5.0,6.0,2,0,2023-05-18
TXN_4700144,1,4,2.0,8.0,2,0,2023-12-21
TXN_5526852,5,5,4.0,6.0,2,0,2023-09-28
TXN_6846228,4,3,3.0,15.0,2,0,2023-11-16
TXN_8570890,3,4,3.0,12.0,2,1,2023-04-14
TXN_3205009,3,2,1.5,3.0,0,0,2023-01-03
TXN_3786188,7,3,1.5,4.5,1,0,2023-10-20
TXN_4530804,1,4,2.0,8.0,2,1,2023-01-12
TXN_9642066,5,3,4.0,12.0,1,0,2023-08-31
TXN_7328294,3,2,3.0,6.0,0,1,2023-07-07
TXN_9238066,3,5,1.5,7.5,2,0,2023-09-15
TXN_5415901,0,2,3.0,6.0,2,1,2023-10-21
TXN_6714420,3,2,3.0,6.0,1,1,2023-03-30
TXN_6616971,3,2,3.0,6.0,2,1,2023-09-02
TXN_7803615,4,3,5.0,15.0,0,0,2023-12-13
TXN_3544789,7,4,1.5,6.0,2,0,2023-07-14
TXN_1583597,4,1,5.0,5.0,0,0,2023-05-10
TXN_8472308,2,2,1.0,2.0,2,1,2023-08-19
TXN_1967565,6,5,4.0,20.0,1,1,2023-03-31
TXN_2029497,5,2,4.0,8.0,0,1,2023-01-06
TXN_8929774,3,3,3.0,9.0,0,1,2023-10-02
TXN_7852990,5,5,4.0,20.0,2,1,2023-07-10
TXN_2534066,4,2,5.0,10.0,0,1,2023-10-13
TXN_2059647,7,1,1.5,1.5,2,0,2023-05-29
TXN_2485183,6,5,4.0,20.0,0,0,2023-07-07
TXN_7374846,5,1,4.0,4.0,1,1,2023-05-29
TXN_9401522,5,4,4.0,16.0,2,0,2023-11-16
TXN_8250651,5,4,4.0,16.0,2,0,2023-03-13
TXN_7191245,0,4,3.0,12.0,2,1,2023-05-22
TXN_8982764,0,5,3.0,15.0,2,1,2023-11-23
TXN_8669422,3,4,3.0,12.0,0,1,2023-10-15
TXN_1153869,6,5,4.0,20.0,1,1,2023-11-03
TXN_5043774,5,3,4.0,12.0,0,1,2023-06-08
TXN_1746320,4,1,5.0,5.0,0,1,2023-11-14
TXN_1077129,2,1,1.0,1.0,2,0,2023-09-12
TXN_4865338,5,5,4.0,16.0,2,0,2023-11-26
TXN_5616583,6,1,4.0,4.0,2,1,2023-10-13
TXN_2078474,2,2,1.0,2.0,2,1,2023-11-03
TXN_2130245,6,5,4.0,20.0,1,1,2023-11-13
TXN_3229409,3,5,3.0,6.0,0,1,2023-04-15
TXN_9076216,0,1,3.0,3.0,0,1,2023-12-17
TXN_6371987,7,5,1.5,6.0,2,1,2023-03-13
TXN_9913877,3,2,2.0,4.0,1,1,2023-05-09
TXN_2084377,6,1,4.0,4.0,1,1,2023-10-22
TXN_1842675,3,4,1.0,4.0,1,1,2023-06-23
TXN_8605813,2,1,1.0,1.0,2,1,2023-06-30
TXN_9755352,5,5,4.0,20.0,2,0,2023-05-13
TXN_2305908,1,5,2.0,8.0,0,1,2023-04-25
TXN_6953697,3,3,4.0,12.0,2,1,2023-05-27
TXN_3495950,3,4,3.0,6.0,1,0,2023-02-19
TXN_7557340,7,5,1.5,7.5,1,0,2023-12-11
TXN_1157817,6,1,4.0,4.0,2,0,2023-04-25
TXN_2020318,7,3,1.5,4.5,2,0,2023-10-12
TXN_8692094,1,5,2.0,10.0,2,1,2023-08-30
TXN_5307411,0,3,3.0,6.0,2,1,2023-10-21
TXN_9703120,1,3,2.0,6.0,1,1,2023-11-02
TXN_1289133,3,1,3.0,3.0,0,1,2023-09-19
TXN_2031459,0,3,3.0,9.0,0,1,2023-07-04
TXN_1333682,6,1,4.0,4.0,2,1,2023-01-28
TXN_2256622,2,2,3.0,2.0,0,0,2023-10-04
TXN_4912930,6,3,4.0,12.0,1,0,2023-02-26
TXN_4942692,1,2,2.0,4.0,2,1,2023-01-15
TXN_3723007,7,3,1.5,4.5,2,0,2023-05-18
TXN_7922392,5,3,4.0,12.0,2,1,2023-05-03
TXN_7498727,4,3,5.0,15.0,0,1,2023-11-06
TXN_1222338,2,1,1.0,1.0,2,0,2023-10-11
TXN_6878866,6,3,4.0,12.0,1,1,2023-02-25
TXN_9223242,6,2,4.0,8.0,2,1,2023-09-10
TXN_6244211,6,2,4.0,8.0,2,1,2023-08-11
TXN_5446858,3,1,1.0,1.0,0,0,2023-11-07
TXN_4612864,7,3,1.5,4.5,2,1,2023-02-14
TXN_5411381,2,5,1.0,1.0,2,1,2023-04-28
TXN_3047598,2,1,1.0,1.0,2,1,2023-09-06
TXN_5754317,1,2,3.0,4.0,1,1,2023-01-10
TXN_7496926,5,3,4.0,12.0,2,0,2023-04-23
TXN_7559388,4,4,5.0,20.0,2,1,2023-02-26
TXN_8540499,2,3,1.0,3.0,0,0,2023-01-22
TXN_4225756,2,3,1.0,3.0,2,0,2023-03-10
TXN_6795640,2,4,1.0,4.0,2,1,2023-01-28
TXN_6702428,1,5,2.0,10.0,0,1,2023-08-11
TXN_8955259,3,2,4.0,8.0,1,1,2023-11-18
TXN_4639319,1,5,2.0,10.0,0,1,2023-01-09
TXN_5997803,1,5,2.0,10.0,2,0,2023-12-03
TXN_1340956,3,4,2.0,8.0,2,1,2023-10-26
TXN_1259671,5,5,4.0,12.0,2,0,2023-10-08
TXN_8319993,3,1,3.0,3.0,2,1,2023-08-06
TXN_5523450,4,5,5.0,25.0,1,1,2023-07-02
TXN_7838964,5,3,4.0,12.0,1,0,2023-06-15
TXN_2773987,6,5,4.0,20.0,2,1,2023-01-11
TXN_1158829,7,1,3.0,1.5,1,1,2023-10-02
TXN_2523298,3,4,3.0,6.0,2,0,2023-03-25
TXN_8685737,6,2,4.0,8.0,2,0,2023-11-02
TXN_5634135,2,2,3.0,2.0,2,1,2023-01-27
TXN_1524626,6,2,4.0,8.0,2,1,2023-12-29
TXN_7275407,6,2,4.0,8.0,2,0,2023-10-20
TXN_2889622,3,4,3.0,12.0,1,1,2023-11-01
TXN_6849113,2,5,1.0,1.0,1,1,2023-07-14
TXN_2265316,2,5,1.0,3.0,1,0,2023-12-29
TXN_9472241,4,3,5.0,15.0,0,1,2023-06-30
TXN_7345414,4,1,3.0,5.0,2,1,2023-02-15
TXN_4473352,0,1,3.0,3.0,2,0,2023-11-16
TXN_2814363,7,2,1.5,3.0,2,1,2023-07-02
TXN_1846004,3,3,3.0,9.0,0,0,2023-05-21
TXN_7140471,0,1,3.0,3.0,1,1,2023-05-25
TXN_3119542,6,1,4.0,4.0,1,1,2023-10-31
TXN_7773968,5,5,4.0,20.0,2,1,2023-02-24
TXN_9081088,7,2,1.5,3.0,0,1,2023-02-27
TXN_8559167,5,5,4.0,6.0,2,1,2023-12-09
TXN_1130191,6,2,4.0,8.0,0,0,2023-04-06
TXN_5215451,5,5,4.0,20.0,2,1,2023-11-02
TXN_1040764,1,3,2.0,6.0,0,1,2023-07-27
TXN_5457133,3,5,3.0,15.0,2,0,2023-03-03
TXN_8365478,3,3,4.0,12.0,0,1,2023-02-06
TXN_2100697,1,3,2.0,6.0,2,1,2023-09-19
TXN_7676968,6,4,4.0,16.0,2,0,2023-02-21
TXN_5726998,0,3,3.0,9.0,1,1,2023-08-12
TXN_4134594,5,3,4.0,12.0,2,0,2023-09-27
TXN_5079340,2,4,1.0,4.0,0,0,2023-08-18
TXN_8276635,3,4,4.0,16.0,2,1,2023-12-16
TXN_1380601,7,4,1.5,6.0,2,0,2023-03-11
TXN_3959152,3,1,3.0,3.0,2,0,2023-05-21
TXN_7776739,7,2,1.5,3.0,2,1,2023-02-23
TXN_7569615,3,2,3.0,6.0,0,1,2023-06-07
TXN_8703771,0,5,3.0,15.0,2,0,2023-05-12
TXN_2052395,6,3,4.0,12.0,1,0,2023-07-06
TXN_9421441,3,2,4.0,8.0,0,1,2023-06-20
TXN_9065402,3,1,5.0,5.0,0,1,2023-12-22
TXN_3638955,2,2,3.0,2.0,0,1,2023-09-02
TXN_2635532,3,4,4.0,16.0,0,1,2023-01-14
TXN_8256593,4,2,5.0,10.0,2,1,2023-08-09
TXN_9271457,0,3,3.0,9.0,2,0,2023-02-27
TXN_5392603,1,1,2.0,2.0,0,0,2023-05-14
TXN_6319728,1,5,2.0,4.0,1,0,2023-07-18
TXN_9263299,2,2,1.0,2.0,1,1,2023-10-08
TXN_2301505,0,5,3.0,15.0,2,1,2023-03-21
TXN_5895177,0,5,3.0,15.0,2,1,2023-08-16
TXN_8147357,7,5,1.5,7.5,2,1,2023-04-20
TXN_1436343,2,1,1.0,1.0,1,0,2023-11-26
TXN_2214698,4,4,5.0,20.0,1,1,2023-10-10
TXN_7480234,4,1,5.0,5.0,0,1,2023-05-10
TXN_3283097,3,5,2.0,10.0,0,1,2023-02-28
TXN_2633602,3,2,3.0,6.0,2,0,2023-02-02
TXN_3093219,3,5,3.0,6.0,0,1,2023-01-28
TXN_3515730,3,1,1.0,1.0,1,1,2023-08-14
TXN_4010658,7,5,1.5,7.5,2,1,2023-09-26
TXN_1454467,3,3,3.0,9.0,0,0,2023-03-15
TXN_2598728,0,2,3.0,6.0,1,1,2023-01-13
TXN_3390285,7,2,1.5,3.0,2,1,2023-02-06
TXN_8224079,2,5,1.0,5.0,0,0,2023-10-16
TXN_1916339,0,1,3.0,3.0,0,0,2023-07-15
TXN_8611035,5,5,4.0,20.0,2,0,2023-05-28
TXN_3595735,7,4,1.5,6.0,2,1,2023-03-26
TXN_4884822,2,1,1.0,1.0,1,1,2023-04-23
TXN_3668051,0,1,3.0,3.0,2,1,2023-11-17
TXN_6169633,4,4,5.0,20.0,1,1,2023-12-20
TXN_3884811,1,4,2.0,8.0,1,1,2023-06-10
TXN_7050740,3,1,3.0,3.0,0,1,2023-07-12
TXN_1234097,2,4,3.0,4.0,0,1,2023-12-04
TXN_4518102,7,5,1.5,7.5,1,0,2023-02-08
TXN_5939055,1,3,2.0,6.0,2,1,2023-10-21
TXN_7809183,3,4,1.0,4.0,2,1,2023-09-08
TXN_6071202,3,1,1.0,1.0,0,0,2023-06-07
TXN_8158496,7,4,1.5,6.0,0,1,2023-06-19
TXN_2726848,0,5,3.0,6.0,1,1,2023-09-11
TXN_3666858,0,4,3.0,12.0,1,0,2023-12-27
TXN_5499915,2,2,1.0,2.0,2,1,2023-02-01
TXN_4660753,3,5,3.0,3.0,1,1,2023-10-04
TXN_8089522,5,4,3.0,16.0,0,1,2023-02-12
TXN_1564754,4,3,5.0,15.0,2,0,2023-03-14
TXN_1824506,0,1,3.0,3.0,0,0,2023-03-02
TXN_3677592,5,2,4.0,8.0,0,1,2023-05-29
TXN_1002457,2,5,1.0,5.0,2,1,2023-09-29
TXN_8056263,6,5,4.0,20.0,2,0,2023-04-20
TXN_4732351,5,1,4.0,4.0,2,0,2023-04-22
TXN_8049191,0,3,3.0,9.0,1,1,2023-07-31
TXN_4980036,0,2,3.0,6.0,0,1,2023-01-05
TXN_3022839,1,5,2.0,10.0,2,1,2023-08-25
TXN_7701070,1,5,2.0,10.0,1,1,2023-07-28
TXN_8048037,5,2,4.0,8.0,2,1,2023-03-31
TXN_4444463,0,4,3.0,12.0,2,1,2023-05-16
TXN_1887522,5,4,4.0,16.0,0,0,2023-02-20
TXN_6908953,7,1,1.5,1.5,2,0,2023-12-08
TXN_4759769,5,1,4.0,4.0,2,0,2023-08-03
TXN_2254479,7,2,1.5,3.0,2,1,2023-08-03
TXN_7555408,4,2,5.0,10.0,2,0,2023-06-06
TXN_6857943,0,5,3.0,15.0,2,1,2023-01-08
TXN_9552845,5,3,4.0,12.0,0,1,2023-02-18
TXN_6769465,3,5,3.0,15.0,2,0,2023-06-13
TXN_7438831,1,5,3.0,10.0,2,1,2023-12-24
TXN_3871837,7,5,1.5,4.5,2,1,2023-12-15
TXN_3656762,5,2,4.0,8.0,2,1,2023-07-31
TXN_4980282,0,1,3.0,3.0,2,0,2023-10-22
TXN_3580786,7,1,3.0,1.5,2,0,2023-03-28
TXN_4355728,3,4,3.0,12.0,1,1,2023-03-06
TXN_2508476,6,5,4.0,20.0,0,1,2023-04-14
TXN_1325631,0,4,3.0,12.0,1,0,2023-02-11
TXN_8209125,2,3,1.0,3.0,1,1,2023-01-30
TXN_1751164,4,2,5.0,10.0,0,1,2023-09-11
TXN_3730415,0,4,3.0,12.0,1,1,2023-04-09
TXN_4134253,7,4,1.5,6.0,0,0,2023-10-07
TXN_3256497,1,2,2.0,4.0,0,1,2023-08-20
TXN_8763180,6,1,4.0,6.0,2,1,2023-04-16
TXN_3219175,5,5,4.0,20.0,2,1,2023-02-23
TXN_6234872,6,1,4.0,6.0,2,1,2023-12-23
TXN_7919440,7,4,1.5,6.0,0,1,2023-08-19
TXN_7558641,1,1,2.0,2.0,2,0,2023-12-22
TXN_9940220,3,2,3.0,6.0,2,1,2023-03-05
TXN_2130483,7,4,1.5,6.0,0,1,2023-11-25
TXN_1972584,5,5,4.0,20.0,2,1,2023-07-10
TXN_3150792,1,5,2.0,6.0,0,1,2023-07-02
TXN_2980008,0,3,3.0,9.0,2,1,2023-11-17
TXN_5511805,3,1,3.0,6.0,2,1,2023-06-03
TXN_7292548,2,4,1.0,4.0,2,1,2023-03-24
TXN_2169664,6,1,4.0,4.0,0,1,2023-07-23
TXN_3234877,1,4,2.0,8.0,0,1,2023-07-29
TXN_6368719,0,4,3.0,12.0,1,1,2023-01-03
TXN_8852585,5,4,4.0,16.0,1,1,2023-01-05
TXN_9201010,4,1,5.0,5.0,1,1,2023-03-15
TXN_2873990,5,2,4.0,8.0,2,1,2023-03-12
TXN_3088796,5,4,4.0,16.0,1,1,2023-08-16
TXN_3414935,1,4,2.0,8.0,2,0,2023-08-03
TXN_3607652,4,4,5.0,20.0,2,0,2023-06-05
TXN_8502094,3,5,3.0,15.0,1,0,2023-03-21
TXN_9068244,5,5,4.0,20.0,2,1,2023-10-19
